"X1","X2","n","Sample_real","quantile_99_9","real_n"
456,"mphA18",5,"S_enterica_1",17.0702477702863,NA
456,"stx2181",3,"S_enterica_1",28.4620161784287,NA
456,"dfrA1",3,"S_enterica_1",171.576934043566,NA
456,"eltA73",16,"S_enterica_1",100.946481015484,NA
456,"aggR11",1,"S_enterica_1",41.2496354721484,NA
456,"aadA1",1,"S_enterica_1",14.1571352863536,NA
456,"Tsp19",6,"S_enterica_1",21.8678047948649,NA
456,"stx11581",1,"S_enterica_1",41.8241822416477,NA
456,"aac6I6",1,"S_enterica_1",24.2770971057034,NA
456,"uidA616",8,"S_enterica_1",51.0816207588305,NA
456,"bfpF56",1,"S_enterica_1",2.97627866533694,NA
456,"eae111",2,"S_enterica_1",23.7304952007239,NA
456,"astA13",2,"S_enterica_1",10.8982949359371,NA
457,"dfrA15",9641,"zNegative_1",45044.3140768821,NA
457,"dfrA369",1000,"zNegative_1",8679.36043701556,NA
457,"chuA24",29,"zNegative_1",120.880769045547,NA
457,"dfrA243",749,"zNegative_1",3059.13029908572,NA
457,"qnrB7",1433,"zNegative_1",3932.28470087176,NA
457,"bfpA82",254,"zNegative_1",1344.94106231646,NA
457,"mcr28",374,"zNegative_1",3302.48592248652,NA
457,"dfrA58",237,"zNegative_1",570.011106605434,NA
457,"ant2Ia1",88,"zNegative_1",225.708178159779,NA
457,"invE132",221,"zNegative_1",1873.07522286973,NA
457,"aadA57",10,"zNegative_1",23.5136927375065,NA
457,"aph6I29",754,"zNegative_1",1564.71149082057,NA
457,"tetB43",32,"zNegative_1",186.174284143104,NA
457,"ipaH921",267,"zNegative_1",892.457127114583,NA
457,"tetA13",86,"zNegative_1",179.496739852089,NA
457,"gadph195",21,"zNegative_1",105.058327370762,NA
457,"sul336",110,"zNegative_1",651.156032356883,NA
457,"Tsp19",4,"zNegative_1",21.8678047948649,NA
457,"sul15",139,"zNegative_1",406.852140513735,NA
457,"yjaA12",26,"zNegative_1",194.115628268021,NA
457,"stx1301",58,"zNegative_1",383.16671651034,NA
457,"dfrA1",16,"zNegative_1",171.576934043566,NA
457,"stx23291",18,"zNegative_1",78.4426543581793,NA
457,"eae6271",75,"zNegative_1",513.949347429163,NA
457,"stx2181",8,"zNegative_1",28.4620161784287,NA
457,"aac3VI23",26,"zNegative_1",43.3275644759138,NA
457,"aac6I6",4,"zNegative_1",24.2770971057034,NA
457,"eltA73",20,"zNegative_1",100.946481015484,NA
457,"sul22",28,"zNegative_1",234.331413109493,NA
457,"trpA354",30,"zNegative_1",134.062059371692,NA
457,"aaiC47",1,"zNegative_1",13.6202465566286,NA
457,"stx11581",7,"zNegative_1",41.8241822416477,NA
457,"aggR11",2,"zNegative_1",41.2496354721484,NA
457,"uidA616",14,"zNegative_1",51.0816207588305,NA
457,"aac6I123",2,"zNegative_1",11.3437589734004,NA
457,"arpA19",1,"zNegative_1",7.89715486823765,NA
457,"ipaH321",8,"zNegative_1",21.2616862461866,NA
457,"bfpF56",1,"zNegative_1",2.97627866533694,NA
457,"mphA18",2,"zNegative_1",17.0702477702863,NA
457,"mcr64",3,"zNegative_1",89.7884189932358,NA
457,"aac3II63",2,"zNegative_1",3.768131939875,NA
457,"aadA1",1,"zNegative_1",14.1571352863536,NA
457,"eltA4510",1,"zNegative_1",6.28783638827619,NA
457,"eae111",1,"zNegative_1",23.7304952007239,NA
457,"astA13",2,"zNegative_1",10.8982949359371,NA
457,"aadA21",1,"zNegative_1",9.14218305826812,NA
457,"aap223",1,"zNegative_1",2.87320121980796,NA
457,"tetM34",1,"zNegative_1",19.905700783891,NA
457,"estIa94",1,"zNegative_1",7.15894419987053,NA
458,"sul22",1623,"S_enterica_2",234.331413109493,1388.66858689051
458,"dfrA15",6727,"S_enterica_2",45044.3140768821,NA
458,"aph6I29",4238,"S_enterica_2",1564.71149082057,2673.28850917943
458,"dfrA243",342,"S_enterica_2",3059.13029908572,NA
458,"aadA57",5,"S_enterica_2",23.5136927375065,NA
458,"qnrB7",856,"S_enterica_2",3932.28470087176,NA
458,"dfrA58",153,"S_enterica_2",570.011106605434,NA
458,"sul15",121,"S_enterica_2",406.852140513735,NA
458,"ipaH921",183,"S_enterica_2",892.457127114583,NA
458,"invE132",225,"S_enterica_2",1873.07522286973,NA
458,"bfpA82",152,"S_enterica_2",1344.94106231646,NA
458,"stx1301",29,"S_enterica_2",383.16671651034,NA
458,"eltA73",16,"S_enterica_2",100.946481015484,NA
458,"sul336",64,"S_enterica_2",651.156032356883,NA
458,"eae6271",29,"S_enterica_2",513.949347429163,NA
458,"tetA13",104,"S_enterica_2",179.496739852089,NA
458,"mcr28",51,"S_enterica_2",3302.48592248652,NA
458,"tetB43",28,"S_enterica_2",186.174284143104,NA
458,"aac3VI23",21,"S_enterica_2",43.3275644759138,NA
458,"gadph195",22,"S_enterica_2",105.058327370762,NA
458,"ant2Ia1",41,"S_enterica_2",225.708178159779,NA
458,"dfrA369",173,"S_enterica_2",8679.36043701556,NA
458,"aac6I6",3,"S_enterica_2",24.2770971057034,NA
458,"aadA21",1,"S_enterica_2",9.14218305826812,NA
458,"aap223",1,"S_enterica_2",2.87320121980796,NA
458,"trpA354",19,"S_enterica_2",134.062059371692,NA
458,"yjaA12",23,"S_enterica_2",194.115628268021,NA
458,"stx11581",2,"S_enterica_2",41.8241822416477,NA
