X2,n,Sample_real,quantile_99_9,real_n,wgs
mcr64,7,zSet2Negative_5,12.80598684,NA,t
aadA57,7,55_2,23.95903573,NA,t
mcr64,7,55_2,12.80598684,NA,t
stx23291,7,56_2,37.0917137,NA,t
eltA73,7,56_2,36.22578755,NA,t
stx23291,7,58_2,37.0917137,NA,t
aadA57,7,58_2,23.95903573,NA,t
yjaA12,7,61_2,75.05504254,NA,t
eltA73,7,61_2,36.22578755,NA,t
yjaA12,7,64_2,75.05504254,NA,t
gadph195,7,64_2,51.83009619,NA,t
ipaH321,7,68_2,17.75498553,NA,t
aadA57,7,69_2,23.95903573,NA,t
stx23291,7,69_2,37.0917137,NA,t
mcr64,7,zaggR_1,12.80598684,NA,t
uidA616,7,zaggR_1,50.19796756,NA,t
aadA57,7,72_2,23.95903573,NA,t
astA13,7,72_2,15.58254854,NA,t
ipaH321,7,77_2,17.75498553,NA,t
ipaH321,7,zSet2Negative_8,17.75498553,NA,t
gadph195,7,zaggR_2,51.83009619,NA,t
aadA57,7,zaggR_2,23.95903573,NA,t
eltA73,7,zaggR_2,36.22578755,NA,t
eltA73,7,zaaiC47_1,36.22578755,NA,t
dfrA58,6,48_1,586.3448659,NA,t
aac6I6,6,51_1,21.79552529,NA,t
astA13,6,52_1,15.58254854,NA,t
aac6I6,6,52_1,21.79552529,NA,t
Tsp19,6,52_1,20.14329318,NA,t
aadA57,6,56_1,23.95903573,NA,t
mcr64,6,58_1,12.80598684,NA,t
Tsp19,6,59_1,20.14329318,NA,t
dfrA1,6,61_1,37.39168884,NA,t
astA13,6,61_1,15.58254854,NA,t
aadA57,6,zSet2Negative_2,23.95903573,NA,t
stx2181,6,zSet2Negative_2,14.58952727,NA,t
mcr64,6,zSet2Negative_2,12.80598684,NA,t
ipaH321,6,64_1,17.75498553,NA,t
dfrA1,6,64_1,37.39168884,NA,t
mphA18,6,66_1,23.02436054,NA,t
eae6271,6,zSet2Negative_3,131.5009299,NA,t
stx23291,6,70_1,37.0917137,NA,t
stx23291,6,72_1,37.0917137,NA,t
mphA18,6,75_1,23.02436054,NA,t
