X1,X2,n
462,dfrA58,85
462,dfrA243,186
462,sul336,46
462,aph6I29,442
462,ipaH921,110
462,invE132,70
462,eae6271,20
462,bfpA82,77
462,stx23291,9
462,ant2Ia1,24
462,aac3VI23,15
462,yjaA12,13
462,sul22,15
462,chuA24,18
462,aatA12314,1
462,tetB43,14
462,stx1301,19
462,uidA616,4
462,eltA73,8
462,astA13,2
462,aac6I123,1
462,dfrA1,1
462,Tsp19,2
462,aac6I6,1
462,mcr64,1
462,aac3II63,1
462,trpA354,4
462,mphA18,1
462,aadA1,1
463,dfrA15,5434
463,qnrB7,596
463,dfrA243,355
463,ipaH921,160
463,bfpA82,120
463,chuA24,16
463,ipaH321,6
463,aph6I29,421
463,yjaA12,19
463,dfrA369,150
463,sul15,85
463,sul336,60
463,invE132,93
463,dfrA58,139
463,ant2Ia1,40
463,eae6271,33
463,tetA13,76
463,aac6I6,4
463,aadA57,6
463,eltA73,12
463,stx1301,26
463,mcr28,80
463,gadph195,22
463,tetB43,33
463,stx23291,11
463,trpA354,11
463,aac3VI23,11
463,sul22,11
463,eae111,2
463,qnrS1,1
463,uidA616,11
463,dfrA1,2
463,stx11581,3
463,stx2181,4
463,mphA18,1
463,aadA1,1
463,aac3II63,1
464,dfrA15,9040
464,dfrA58,236
464,dfrA243,652
464,qnrB7,958
464,mcr28,145
464,aph6I29,808
464,bfpA82,192
464,ant2Ia1,76
464,ipaH921,265
464,stx1301,54
464,eae6271,51
464,tetB43,28
464,sul15,161
464,invE132,131
464,dfrA369,216
464,tetA13,121
464,uidA616,15
464,gadph195,21
464,aaiC47,2
464,sul336,98
464,yjaA12,34
464,chuA24,32
464,aac3VI23,31
464,astA13,5
464,eltA4510,1
464,ipaH321,9
464,eltA73,16
464,stx23291,13
464,aac6I6,4
464,sul22,20
464,trpA354,21
464,dfrA1,4
464,mphA18,7
464,Tsp19,4
464,mcr64,2
464,aac3II63,2
464,aadA21,1
464,qnrS1,2
464,eae111,2
464,aadA57,7
464,stx2181,4
464,aac6I123,2
464,aggR11,3
464,tetM34,1
464,stx11581,1
464,aatA12314,1
464,eltB12,1
464,aadA1,1
465,dfrA15,6971
465,dfrA243,534
465,dfrA369,627
465,eae6271,47
465,tetA13,109
465,qnrB7,999
465,invE132,162
465,mcr28,255
465,ipaH921,188
465,aph6I29,521
465,tetB43,20
465,stx1301,34
465,yjaA12,19
465,bfpA82,189
465,mcr64,6
465,dfrA58,174
465,aac3VI23,23
465,ant2Ia1,65
465,eltA73,16
465,dfrA1,11
465,sul336,91
465,trpA354,18
465,sul15,99
